msg_type,processing_time_ns,buff_read_ns
l2update,10888,1698
match,16649,5132
l2update,11111,1695
match,16007,2002
l2update,11174,1648
match,15834,2013
l2update,10771,1622
match,15792,1947
l2update,11223,4021
match,15501,1957
l2update,19998,1621
match,15170,1998
l2update,10791,1765
match,15974,1875
l2update,10873,1557
match,15965,4107
l2update,10371,1607
match,15668,1888
l2update,10176,1555
match,15669,1872
l2update,10554,1575
match,15662,1872
l2update,10624,1597
match,16565,4100
l2update,10998,1650
match,15765,1786
l2update,10775,1590
match,15360,1883
l2update,10199,1542
match,16557,1919
l2update,10360,1542
match,16116,4012
l2update,10856,1672
match,15914,1870
l2update,10761,1577
match,15886,1860
l2update,10414,1535
match,15953,1899
l2update,10655,1561
match,16192,4057
l2update,10813,1650
match,16021,1869
l2update,10385,1579
match,16062,1935
l2update,10442,1548
match,15386,1852
l2update,11123,3761
match,15751,1947
l2update,10329,1554
match,15791,1912
l2update,10340,1543
match,15842,1897
l2update,10627,1613
match,15990,1928
l2update,10946,3786
match,15572,1956
l2update,10679,1547
match,15973,1902
l2update,10839,1619
