msg_type,processing_time_ns,buff_read_ns
match,23656,6771
l2update,11871,3000
match,16330,2077
l2update,11178,1717
match,19506,3070
l2update,15485,2937
match,20243,2159
l2update,14883,2797
match,20055,5591
l2update,13632,2964
match,21861,2218
l2update,14446,2709
match,20569,2225
l2update,13694,1955
match,19119,2827
l2update,13486,2411
match,21737,6385
l2update,13605,2813
match,19307,2934
l2update,14158,2914
match,20634,2239
l2update,13944,1963
match,20802,2950
l2update,15377,6181
match,21263,2219
l2update,13553,1988
match,19765,3148
l2update,13452,2017
match,20086,2469
l2update,13866,2448
match,20765,2197
l2update,15490,4938
match,20523,2237
l2update,13396,1977
match,21936,3239
l2update,14101,1956
match,20632,2645
l2update,13160,1951
match,21238,6635
l2update,13485,2035
match,19944,3261
l2update,13652,2714
match,20202,2224
l2update,13805,1969
match,19262,2636
l2update,13368,2155
match,19965,6200
l2update,13436,2733
match,20290,2350
l2update,14448,2074
match,20699,2242
l2update,13232,1939
match,19394,3101
l2update,13612,2178
match,21355,6834
l2update,13291,2111
match,18983,3191
l2update,14783,2870
match,20422,2135
l2update,13103,1984
match,19292,3055
l2update,13965,6244
match,19775,3139
l2update,13811,2694
match,20355,2209
l2update,13990,1940
match,20616,2694
l2update,13407,1919
match,19853,3035
l2update,14498,6320
match,19202,3240
l2update,14126,2741
match,20724,2169
l2update,14745,1854
match,20295,2241
l2update,13340,1968
match,21190,6536
l2update,13524,2115
match,18989,3476
l2update,13623,2875
match,20152,2141
l2update,14180,1929
match,20127,2352
l2update,13579,2018
match,20004,6796
l2update,13721,2122
match,19024,2918
l2update,14869,2815
match,18465,2191
l2update,11426,1966
match,15867,1999
l2update,14606,2368
match,20755,4807
l2update,14537,2072
match,20301,2303
l2update,13226,2017
match,19046,3171
l2update,13885,2846
match,20090,2186
l2update,15673,1956
match,22759,27097
l2update,14939,3205
match,20774,2317
l2update,14611,1989
match,20435,2384
l2update,13135,2023
match,20763,3276
l2update,15539,13835
match,19778,3374
l2update,13769,2941
match,20714,2231
l2update,13674,2003
match,19283,3042
l2update,14030,2127
match,22106,7074
l2update,13799,2085
match,21497,3403
l2update,13593,1950
match,19873,3131
l2update,13511,2902
match,20332,2231
l2update,14017,1966
match,21065,5449
l2update,13857,2018
match,20938,2417
l2update,13343,2004
match,19559,3411
l2update,13564,2979
match,20536,2223
l2update,13638,1960
match,20811,5014
l2update,13713,2009
match,19652,2910
l2update,13729,1989
match,20725,2443
l2update,14144,2711
match,20800,2257
l2update,13794,1945
match,21086,5001
l2update,14417,2256
match,20604,2285
l2update,13254,2033
match,19543,3336
l2update,13885,2966
match,20846,2280
l2update,14958,5379
match,20679,2278
l2update,20194,1939
match,19276,3854
l2update,13948,2530
match,20002,2238
l2update,14635,1980
match,20593,2309
l2update,15063,4776
match,20690,2365
l2update,13239,1964
match,19802,3380
l2update,13385,1991
match,20251,2701
l2update,13931,2792
match,20680,4875
l2update,14622,2699
match,20000,2229
l2update,13295,1991
match,18681,3352
l2update,13493,2862
match,20172,2200
l2update,13651,1934
match,20808,5289
l2update,13432,1993
match,18945,3009
l2update,14574,3005
match,20102,3072
l2update,14265,2968
match,20814,2240
l2update,14141,1886
match,21111,5041
l2update,23428,2020
match,20379,2203
l2update,13256,1840
match,19818,3407
l2update,12899,1874
match,15874,2174
l2update,11117,4242
match,20475,2006
l2update,13062,1972
match,19791,2742
l2update,13791,2820
match,20174,2209
l2update,12987,1905
match,18538,3395
l2update,13970,5389
match,19283,3519
l2update,13404,2262
match,19470,2220
l2update,14551,2467
match,20131,2197
l2update,13382,1922
match,21035,5941
l2update,13155,2025
match,19140,3163
l2update,13236,2452
match,19617,2767
l2update,13539,2741
match,20088,2168
l2update,13091,1896
match,20875,5549
l2update,13422,2015
match,18736,2822
l2update,12982,2119
match,19422,2837
l2update,13795,2775
match,19769,2196
l2update,13615,1860
match,20827,5172
l2update,13891,1981
match,29445,2320
l2update,13153,2008
match,18874,3244
l2update,14145,3027
match,20258,2152
l2update,14633,2891
match,29243,5373
l2update,13791,3261
match,17902,2205
l2update,13242,1919
match,30409,2250
l2update,10796,2166
match,16283,2051
l2update,11665,4510
match,16077,2047
l2update,10763,1698
match,15853,1990
l2update,10666,1701
match,16391,1970
l2update,11099,1666
match,16521,4369
l2update,10716,1749
match,16152,1977
l2update,10729,1686
match,16214,2020
l2update,10767,1696
match,16282,2034
l2update,10634,1685
match,17429,4248
l2update,11378,1722
match,16344,1967
l2update,10952,1713
match,16322,2004
l2update,10494,1721
match,16361,1962
l2update,11005,1688
match,16505,4157
l2update,11452,1804
match,16192,1931
l2update,11349,1697
